code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000601,韶能股份,水力发电,广东,9.47,10.8,10.81,107.33,19.55,72.76,15.82,1.46,0.44299999999999995,4.47,1.25,19960830,14.4,1.33,29.99,77.98,30.35,14.63,58158.0
000401,冀东水泥,水泥,河北,6.51,13.47,13.48,653.15,223.9,324.72,39.6,2.94,1.72,9.5,1.67,19960614,65.31,4.85,16.0,35.96,37.68,9.41,101766.0
601939,建设银行,银行,北京,5.57,95.94,2500.11,245177.3,0.0,1657.27,1345.37,0.54,0.9009999999999999,8.29,0.81,20070925,11393.8,4.56,7.92,5.25,0.0,41.76,350336.0
600376,首开股份,区域地产,北京,5.61,25.8,25.8,2951.21,2547.18,10.85,74.71,2.9,0.82,9.31,0.74,20010312,120.32,4.66,38.78,28.57,42.53,8.04,44348.0
601166,兴业银行,银行,福建,5.02,190.52,207.74,69821.0,0.0,179.32,749.28,3.61,2.57,22.85,0.77,20070205,2914.33,14.03,19.18,8.52,0.0,40.2,239213.0
000983,西山煤电,煤炭开采,山西,6.83,31.51,31.51,632.93,150.79,268.0,10.37,0.33,0.573,6.71,0.78,20000726,136.07,4.32,5.51,18.62,33.02,7.32,136509.0
601601,中国太保,保险,上海,9.93,62.87,90.62,14933.71,0.0,152.68,666.44,7.35,2.529,18.79,1.78,20071225,684.2,7.55,7.39,80.21,0.0,7.36,109647.0
002839,张家港行,银行,江苏,9.72,13.3,18.08,1195.1,0.0,6.67,8.67,0.48,0.41,5.71,0.92,20170124,16.31,0.9,30.15,14.0,0.0,26.1,89593.0
002146,荣盛发展,全国地产,河北,5.6,38.94,43.48,2445.17,2261.68,47.26,50.35,1.16,1.124,8.44,1.0,20070808,222.29,5.11,27.12,30.73,31.31,12.58,75883.0
600350,山东高速,路桥,山东,7.31,48.11,48.11,753.98,65.02,47.61,33.19,0.69,0.441,5.89,0.73,20020318,173.36,3.6,10.25,-28.26,52.81,38.97,60658.0
601288,农业银行,银行,北京,4.97,2940.55,3499.83,248709.61,0.0,1469.08,1735.56,0.5,0.51,4.91,0.7,20100715,7326.08,2.09,3.83,5.28,0.0,38.04,439368.0
600395,盘江股份,煤炭开采,贵州,7.92,16.55,16.55,141.13,52.95,26.68,24.3,1.47,0.541,4.28,1.34,20010531,18.37,1.11,11.26,23.37,38.05,18.13,44294.0
600886,国投电力,水力发电,北京,9.47,67.86,67.86,2251.78,196.5,1385.35,64.69,0.95,0.6,5.32,1.52,19960118,211.78,3.12,6.47,20.51,43.25,13.44,121856.0
601988,中国银行,银行,北京,4.88,2107.66,2943.88,226081.64,0.0,2388.39,1422.23,0.48,0.52,5.53,0.64,20060705,7841.81,2.66,10.69,4.11,0.0,38.33,713108.0
601107,四川成渝,路桥,四川,7.35,21.63,30.58,375.87,85.96,4.83,18.54,0.61,0.365,5.01,0.71,20090727,49.83,1.63,8.24,22.5,46.0,23.88,60153.0
000778,新兴铸管,钢加工,河北,8.2,39.21,39.91,512.25,255.22,156.83,85.96,2.15,0.327,5.28,0.68,19970606,79.65,2.0,1.12,-27.86,12.42,4.07,173525.0
600606,绿地控股,全国地产,上海,4.61,121.68,121.68,10398.64,9167.18,305.87,101.44,0.83,0.971,6.18,0.97,19920327,523.53,4.3,26.17,32.83,14.38,4.02,110466.0
600000,浦发银行,银行,上海,4.94,281.04,293.52,67906.7,0.0,295.1,817.6,2.79,1.62,16.36,0.66,19991110,1611.67,5.49,15.17,11.9,0.0,33.03,165563.0
000828,东莞控股,路桥,广东,6.97,10.4,10.4,121.45,45.91,13.74,11.39,1.1,0.802,6.71,1.11,19970617,40.18,3.87,0.29,17.27,68.57,67.94,31082.0
600382,广东明珠,商贸代理,广东,8.72,6.07,6.07,75.36,58.55,0.59,18.09,2.98,0.535,9.49,0.66,20010118,31.01,5.11,102.28,11.5,75.7,32.58,26767.0
601666,平煤股份,煤炭开采,河南,7.5,23.61,23.61,531.56,189.46,285.86,30.7,1.3,0.37,5.89,0.64,20061123,65.35,2.77,18.65,67.37,19.88,4.97,87140.0
