# Constructed from biom file					
OTU.ID	A	C	B	E	D
New.ReferenceOTU152	14	5	2	9	12
New.ReferenceOTU153	3	2	8	1	2
New.ReferenceOTU158	9	4	2	18	13
New.ReferenceOTU114	4	26	2	5	7
New.ReferenceOTU23	10	5	0	4	1
New.ReferenceOTU22	103	30	28	112	35
New.ReferenceOTU21	2	46	3	2	3
New.ReferenceOTU20	4	1	1	18	9
New.ReferenceOTU27	2	9	4	1	3
New.ReferenceOTU26	11	8	11	24	13
New.ReferenceOTU25	2	2	0	3	13
New.ReferenceOTU24	0	0	0	1	0
New.ReferenceOTU29	59	23	9	65	74
New.ReferenceOTU28	0	0	0	1	1
New.ReferenceOTU56	0	0	0	1	5
New.ReferenceOTU9	1	3	1	1	0
New.ReferenceOTU182	3	5	2	14	13
New.ReferenceOTU181	14	5	1	13	2
New.ReferenceOTU140	2	5	0	9	1
New.ReferenceOTU169	100	43	38	65	81
New.ReferenceOTU168	89	22	17	251	492
New.ReferenceOTU180	11	25	8	8	15
New.ReferenceOTU161	8	14	13	18	1
New.ReferenceOTU52	1	0	0	0	0
New.ReferenceOTU163	3	6	2	4	5
New.ReferenceOTU162	2	12	21	25	12
New.ReferenceOTU165	300	278	93	473	332
New.ReferenceOTU164	3	1	40	21	2
New.ReferenceOTU167	41	49	52	16	22
New.ReferenceOTU53	6	8	2	5	6
New.ReferenceOTU50	0	1	0	0	2
New.ReferenceOTU51	3	0	1	1	2
New.ReferenceOTU183	6	4	3	20	7
New.ReferenceOTU57	112	30	48	1122	332
New.ReferenceOTU54	13	4	3	8	6
New.ReferenceOTU55	48	29	11	97	84
New.ReferenceOTU187	76	58	14	32	60
New.ReferenceOTU186	44	21	14	91	91
New.ReferenceOTU185	42	54	27	60	32
New.ReferenceOTU184	8	8	4	5	26
New.ReferenceOTU189	5	0	1	3	3
New.ReferenceOTU188	125	99	35	230	128
New.ReferenceOTU58	0	7	1	1	1
New.ReferenceOTU59	18	9	0	3	0
New.ReferenceOTU147	6	27	4	9	16
New.ReferenceOTU80	0	1	2	3	0
New.ReferenceOTU143	11	16	9	2	4
New.ReferenceOTU83	26	158	8	4	23
New.ReferenceOTU82	19	57	38	45	45
New.ReferenceOTU121	0	0	2	0	0
New.ReferenceOTU178	3	0	85	0	4
New.ReferenceOTU179	517	47	48	170	126
New.ReferenceOTU176	6	4	2	18	18
New.ReferenceOTU177	6	7	2	4	2
New.ReferenceOTU174	154	503	469	182	260
New.ReferenceOTU175	5	0	1	2	5
New.ReferenceOTU172	0	2	0	1	1
New.ReferenceOTU173	0	1	0	0	1
New.ReferenceOTU170	4	2	2	10	1
New.ReferenceOTU84	30	451	1901	14	14
New.ReferenceOTU87	4	2	1	4	2
New.ReferenceOTU86	0	2	1	1	1
New.ReferenceOTU190	3138	1720	2550	7628	7307
New.ReferenceOTU44	90	125	50	107	113
New.ReferenceOTU192	5	10	9	41	28
New.ReferenceOTU46	465	172	79	340	316
New.ReferenceOTU41	81	140	78	65	70
New.ReferenceOTU40	27	19	10	51	46
New.ReferenceOTU43	3	2	177	4	7
New.ReferenceOTU42	24	67	106	99	105
New.ReferenceOTU49	0	0	1	0	1
New.ReferenceOTU48	5030	2917	2251	6255	5580
New.ReferenceOTU108	2	3	0	6	3
New.ReferenceOTU103	10	6	3	12	7
New.ReferenceOTU101	4	8	2	13	2
New.ReferenceOTU100	2	0	0	42	4
New.ReferenceOTU107	103	77	22	183	103
New.ReferenceOTU106	4	2	2	5	2
New.ReferenceOTU105	0	1	0	1	3
New.ReferenceOTU104	1	10	2	5	4
New.CleanUp.ReferenceOTU0	1	0	0	0	0
New.CleanUp.ReferenceOTU3	0	0	1	0	0
New.CleanUp.ReferenceOTU8	1	0	1	0	0
New.CleanUp.ReferenceOTU9	0	0	0	1	0
New.CleanUp.ReferenceOTU10	0	0	1	0	0
New.CleanUp.ReferenceOTU12	0	0	0	0	1
New.CleanUp.ReferenceOTU17	0	1	0	0	1
New.CleanUp.ReferenceOTU19	1	0	1	0	1
New.CleanUp.ReferenceOTU20	2	0	0	0	1
New.CleanUp.ReferenceOTU21	0	2	0	0	0
New.CleanUp.ReferenceOTU26	0	0	0	0	0
New.CleanUp.ReferenceOTU27	0	1	0	1	0
New.CleanUp.ReferenceOTU28	1	0	0	0	0
New.CleanUp.ReferenceOTU29	0	2	0	0	0
New.CleanUp.ReferenceOTU31	0	0	0	1	0
New.CleanUp.ReferenceOTU32	0	9	2	0	2
New.CleanUp.ReferenceOTU39	1	0	0	2	0
New.CleanUp.ReferenceOTU41	0	0	0	1	3
New.CleanUp.ReferenceOTU42	0	0	0	0	1
New.CleanUp.ReferenceOTU43	0	0	0	0	0
New.CleanUp.ReferenceOTU48	5	3	14	4	5
New.CleanUp.ReferenceOTU49	1	1	0	4	1
New.CleanUp.ReferenceOTU53	0	1	0	1	0
New.CleanUp.ReferenceOTU55	0	0	1	0	0
New.CleanUp.ReferenceOTU60	2	0	0	2	1
New.CleanUp.ReferenceOTU62	1	0	0	0	0
New.CleanUp.ReferenceOTU63	0	2	0	0	0
New.CleanUp.ReferenceOTU65	0	2	0	0	0
New.CleanUp.ReferenceOTU69	1	0	1	0	1
New.CleanUp.ReferenceOTU70	0	0	1	1	1
New.CleanUp.ReferenceOTU71	0	0	0	0	0
New.CleanUp.ReferenceOTU73	3	1	0	1	0
New.CleanUp.ReferenceOTU74	0	0	1	0	0
New.CleanUp.ReferenceOTU78	0	0	0	1	0
New.CleanUp.ReferenceOTU83	1	0	0	0	3
New.CleanUp.ReferenceOTU84	3	0	0	1	0
New.CleanUp.ReferenceOTU99	0	0	1	0	0
