ID	S1G	S2G	T1G	T2G
254263	0.653759	1.59368	0.250294	0.356833
81876	107.899	108.226	114.093	124.406
55684	16.0745	26.5212	27.0376	28.973
339175	3.07668	19.1133	3.72784	3.77856
606500	5.34728	13.397	15.4811	10.8823
143282	0.391864	0.532558	0.823632	1.34493
4046	55.858	53.2475	26.3998	33.3332
200933	0.546019	2.09237	0.929258	1.24585
50613	0	0	0	0
114897	4.70849	4.75963	16.3422	9.34552
8711	3.25183	2.80758	9.81289	9.21714
440567	135.002	154.896	149.904	198.498
79797	6.36216	5.18056	7.1351	8.10748
140545	0.0688105	0.149195	0.109505	0.407176
56652	1.94176	1.69911	2.32034	4.14323
392	45.4987	56.0261	48.3466	51.6635
64816	0	0	0.0510392	0
4221	4.83117	3.94708	6.33944	8.52354
9793	1.90853	5.28155	0.0012445	2.39481
1474	56.962	1.14853	4.11945	1.1933
8815	57.3996	46.3085	47.9707	53.323
26147	1.57286	4.01728	2.59708	1.81844
5002	16.1213	25.1437	10.4462	12.976
148979	0.333994	0.119433	1.95277	1.36599
9092	14.5919	16.2365	25.0912	24.8071
157922	1.03089	1.14612	1.71632	1.28424
3222	0.170931	2.09208	0.915464	2.68963
10589	68.3258	92.7623	63.8136	76.6233
9975	1.63332	11.1662	5.48916	7.84427
127435	18.4093	9.35068	75.972	62.3555
8061	1.05163	0.404938	3.46364	1.59332
11007	26.1252	40.2928	53.2199	52.2957
924	2.44688	7.89361	3.7435	4.57913
388403	5.81676	11.8755	3.46278	4.88065
4026	0.000202741	0.000251194	0.0081601	0.000109576
81857	17.4516	18.9814	17.7357	21.568
349149	0.822074	1.42473	3.51799	3.16799
55818	0.854929	3.77861	0.180804	2.51374
23541	22.2559	1.07093	5.69412	11.6263
84875	15.3796	10.5884	21.0651	20.8527
79701	1.62918	2.7411	3.17739	4.20615
93664	2.25493	1.1428	0.568174	1.00865
56834	2.03979	1.92346	1.59254	1.79095
79651	0.613147	0.237015	0.240042	1.54777
2837	0	0.10882	0.822519	1.50334
2030	1.13717	1.86425	0.630098	1.78932
2907	16.6104	39.2159	2.88335	7.10197
9792	4.50226	4.2102	8.50208	7.69408
6879	38.1088	51.052	46.4999	40.7903
8851	0.18902	1.1126	0.343973	0.928316
1028	0.153544	0.171795	1.41906	1.79815
7284	93.9441	76.4693	76.2849	107.974
282809	1.08129	0.604329	1.77981	2.22153
282679	0.839527	2.03832	1.10042	0.522722
3965	4.31935	7.43212	1.67831	3.70742
4843	0.154941	0.252346	0.097335	0.35664
80199	1.82236	5.26132	1.59819	3.28246
1827	4.00716	0.696155	1.96105	2.6149
8227	10.3814	7.30599	10.4969	10.4543
168620	0.381724	1.02875	1.30448	2.86842
100128553	0.0545071	0.151305	0.124455	0.319503
8208	5.24655	2.55457	1.94079	2.80503
54965	1.39838	0.000135498	2.68325	0.668484
6773	5.88025	2.73133	4.51111	6.3894
1351	786.834	1356.05	726.134	662.303
55343	6.07282	1.92102	3.63051	5.01582
10693	0.688205	0.860434	0.582501	0.426603
7262	23.6899	25.7394	10.3263	9.94738
9772	6.07223	13.5103	16.4991	14.3086
92609	10.488	12.5684	7.54642	9.54322
51780	6.74445	8.89456	6.24016	10.2995
84916	7.01239	8.01704	5.67493	9.26518
219902	0.414742	0.218786	0.519647	1.08544
93185	31.4903	50.8142	27.6599	34.5961
6613	3.13101	2.64128	4.34862	1.62868
2193	19.1647	38.6132	32.9667	40.0216
63899	1.60598	2.80271	1.82411	2.30256
200895	2.28594	2.56271	3.17149	3.20712
5198	1.82214	1.79037	3.55706	5.31274
4762	0	0	0	0.0275345
6817	6.84111	22.5127	8.36522	18.0208
22820	90.9495	70.0764	37.6496	54.9107
10949	47.9795	40.4099	47.6167	54.0223
90933	5.33461	4.85745	5.24826	6.10009
415117	2.3476	0.127301	0.616282	1.07681
339122	19.7113	2.16456	9.94444	10.474
